id,franchise_name,name,image_file_name,image_content_type,image_file_size,image_updated_at,is_new,active_ingredient,description,position,seo_url,active,created_at,updated_at,size,code,upc,collection,price,locale_id,product_category_id,origins_prodid
76,Plantscription™,SPF 25 Power anti-aging oil-free cream,,,,,,,"Now look younger, longer. Our potent anti-ageing cream with Anogeissus is newly infused with Dill Seed Extract to help bring back a look of elasticity, plus anti-ageing Cassia alata. It helps restore a youthful-looking structure, improve the appearance of lines and wrinkles and revive a look of bounce. And delivers renewing moisture plus UV protection in a lightweight, oil-free formula. The result—a more lasting youthful appearance. ",,,1,,,50ml,0LR6010000,717334203631,,48,2,11,42205
77,Plantscription™,Youth-renewing face oil,,,,,,,"This lightweight face oil is fortified with 20 precious oils from around the world. Our youth-renewing blend including Argan, Sweet Almond, Sunflower, Rose and Raspberry Oils plus Anogeissus helps repair skin's barrier and mimic the natural lipid oils lost with age. It absorbs instantly to help hydrate and delete fine, dry lines with no greasy residue. Skin looks and feels youthfully-smooth, radiant and glowing.",,,1,,,30ml,0KL0010000,717334189331,,40,2,13,27751
78,Plantscription™,Youth-renewing power night cream  ,,,,,,,"This dream of a cream, fortified with potent Anogeissus, delivers renewing hydration while you sleep. Helps improve the appearance of lines and wrinkles and revive a youthful look of bounce. Now powered with Dill Seed Extract and anti-ageing Cassia alata to help restore a look of elasticity to create a more lasting youthful appearance overnight.
",,,1,,,50ml,0LR3010000,717334203600,,48,2,12,42076
79,Plantscription™,Youth-renewing sheet mask (1),,,,,,,"Soft, plant based sheet mask surrounds facial contours like a second skin and delivers an infusion of anti-ageing Anogeissus plus renewing Tamanu, Raspberry Seed and Rose Hip Oils. In one 10-minute application, fine lines look smoother, skin’s youthful suppleness and radiance appear more restored and skin looks reconditioned.",,,1,,,1mask,TBD,,,,2,,
80,Plantscription™,Youth-renewing sheet mask (6),,,,,,,"Soft, plant based sheet mask surrounds facial contours like a second skin and delivers an infusion of anti-ageing Anogeissus plus renewing Tamanu, Raspberry Seed and Rose Hip Oils. In one 10-minute application, fine lines look smoother, skin’s youthful suppleness and radiance appear more restored and skin looks reconditioned.",,,1,,,6masks,0M5W010000,717334206915,,32,2,7,39970
81,Pure Cream™,Rinseable cleanser you can also tissue off,,,,,,," This soap-free cleanser with Carrot Oil and Glycerin gently creams away makeup, dirt and moisture-stealing debris without parching skin.",,,1,,,150ml,096K010000,717334105539,,16.5,2,19,10853
82,RitualiTea™,Feeling rosy powdered face mask with rooibos tea and rose,,,,,,,"Just add water to mix up healthier looking skin. Our powder mask transforms into a creamy, effervescent oasis of calm. With Rooibos Tea and Rose, it helps to replenish skin’s youthful appearance by comforting, smoothing and softening",,,1,,,45g,0NFF010000,717334217782,,30,2,,42780
83,RitualiTea™,Matcha madness powdered face mask with matcha & green tea,,,,,,,"Just add water to mix up healthier looking skin. Our powder mask transforms into a creamy, effervescent oasis of calm. With antioxidant-rich Matcha & Green Tea, it helps revitalize and restore a smooth, even texture. Skin feels relaxed and renewed. 
",,,1,,,45g,0NFC010000,717334217768,,30,2,,42757
84,RitualiTea™,Oolong-La powdered face mask with oolong black tea & chai spice,,,,,,,"Just add water to mix up healthier looking skin. Our powder mask transforms into a creamy, effervescent oasis of calm. With Oolong Black Tea and Chai spices, the purifying mask gently exfoliates, absorbs excess oil and leaves skin clear and smooth. 
",,,1,,,45g,0NFE010000,717334217775,,30,2,,42758
85,Save the Males™,Multi-benefit moisturiser,,,,,,," This multi-benefit, oil-free lotion with Carrot Protein and other natural activists supports skin, so it stays healthy and hydrated. Chinese Wolfberry and Mangosteen Extract offer powerful antioxidant protection. And White Birch takes a firm stance against the formation of fine lines and wrinkles. Together, you and this lotion can help put a stop to visible signs of skin damage.",,,1,,,75ml,0ATX010000,717334119161,,30,2,,10690
86,Smarty Pants™,CC SPF 20 Skin complexion corrector,,,,,,," Our high-tech hero instantly and intuitively colour corrects and visibly perfects so you look radiant and flawless without any fuss. The super-smart antioxidant infused formula helps neutralise the skin damaging effects of city smog and pollution. SPF helps protect from UV rays. Over time, our amazing overachiever helps recycle environmental stresses into vital hydration. And that means you can keep your youthful good looks longer.",,,1,,,40ml,0KJ4010000,717334188365,,29,2,,27801
87,Starting Over™,Age-erasing eye cream with Mimosa,,,,,,,"See yourself Start Over with our clinically proven age-prevention eye cream. Advanced Mimosa and Fennel Seed formula helps reduce the appearance of eye area wrinkles as it smoothes crepiness on eyelids. Makeup stays fresher, helps you look instantly more rested and youthful.",,,1,,,15ml,0HGJ010000,717334161528,,32,2,9,12957
88,Starting Over™,Age-erasing moisturizer with Mimosa,,,,,,," Give skin a do-over with this age-prevention moisturiser with Mimosa, Argan Leaf and Green Algae. It helps rebuild collagen, repair visible lines and improve skin texture and tone. Skin looks and feels measurably younger from day one.",,,1,,,50ml,0GHA010000,717334151314,,40,2,11,11645
89,Super Spot Remover™,Acne treatment gel,,,,,,,"Battle breakouts fast! Just a dab of blemish-busting Salicylic Acid instantly helps speed healing. While anti-spot technology helps visibly correct lingering discolouration. Skin-calming Red Algae helps visibly relieve redness. And to help skin stay spotless, super exfoliators eliminate excess oils and pore-clogging debris.",,,1,,,10ml,0J3M010000,717334169333,,15,2,18,18374
90,Three-Part Harmony™,"Foaming Cream-To-Oil Cleanser For Renewal, Replenishment and Radiance ",,,,,,,Not launched,,,1,,,Not launched,0NA5010001,717334216778,,,2,19,42755
91,Three-Part Harmony™,"Nourishing cream for renewal, repair and radiance",,,,,,,"This intensely rich cream with Tazetta Lily Bulbs, White Myrtle and Japanese Knot Weed helps produce youthful supplies of natural collagen to help visibly repair skin’s structure. Fine lines and wrinkles are softened. With deeply nourishing plant butters plus Vitamin E, this luscious cream renews skin’s hydration levels. With Scutellaria, it helps reveal radiance, refine tone and brighten skin to impart a healthy, vibrant glow.",,,1,,,50ml,0M61010000,717334206953,,60,2,11,37562
92,Three-Part Harmony™,"Oil-infused serum for renewal, repair and radiance",,,,,,,"This unique skin-quenching oil infused into a skin-comforting concentrate with deeply nourishing Theobroma Seed Butter and natural lipids helps renew skin’s hydration levels. With Tazetta Lily Bulbs and Myrtle, it helps produce youthful supplies of natural collagen to help visibly repair skin’s structure. Fine lines and wrinkles appear softened. With Omega-rich Crambe Oil and Scutellaira, it helps impart a healthy, vibrant glow and refines tone.",,,1,,,30ml,0MLC010000,717334210837,,60,2,8,37563
93,Three-Part Harmony™,"Soft Cream For Renewal, Repair and Radiance",,,,,,,Not launched,,,1,,,Not launched,0N8F010000,717334216266,,,2,12,42756
94,United State™,Balancing tonic,,,,,,," This tingly-cool, retexturizing tonic refreshes, refines and rebalances faces with dry and oily places. Exfoliates away flakes, pore-clogging debris and smoothes rough spots. Laminaria de-shines T-zones without stripping. And Soy Protein protects moisture levels to prevent parching. Reinstates skin's proper pH too for a continuously comfortable feeling. Plus aromatic Bergamot, Spearmint and Lavender to add pleasure to the process. Dermatologist tested.",,,1,,,150ml,0EEP010000,717334131378,,16.5,2,17,11393
95,VitaZing™,SPF 15 Energy-boosting moisturizer with Mangosteen,,,,,,,"This multi-tasking moisturiser handles the vital jobs of hydrating, energising and protecting to maintain skin's momentum all day. Gives skin the refreshing zing of antioxidant-rich Mangosteen. And adds a healthy hit of radiance that mimics the glow you get from a week's vacation. All in 10 seconds max. Slip it on first thing tomorrow - you'll look like you eat right, sleep tight & don't have a worry in sight.",,,1,,,50ml,0HJX010000,717334162488,,29,2,,13004
96,Well Off®,Fast and gentle eye makeup remover,,,,,,,"When what goes on must come off but rubbing can stress fragile eye skin. Our formula with soothing Rose Damascena helps protect, while ultra gentle cleansers quickly dissolve eye makeup. Without redness or residue. Ophthamologically tested.",,,1,,,150ml,0ETR010000,717334136120,,16.5,2,,11141
97,Zero Oil™,Deep pore cleanser with Saw Palmetto and Mint,,,,,,," This maximum-strength, gently foaming cleanser formulated with skin-clearing Saw Palmetto, cooling Mint and pore-minimizing Salicylic Acid helps clear pores, eliminate excess oil and reduce shine. Leaves skin tingly clean and refreshed.",,,1,,,150ml,0GW1010000,717334154216,,16.5,2,19,10864
98,Zero Oil™,Oil-free moisture lotion with Saw Palmetto and Mint,,,,,,,"This lightweight, oil-free, hydrating lotion with skin-clearing Saw Palmetto, refreshing Mint and pore-minimizing Salicylic Acid instantly reduces shine, refines skin texture and creates a smooth, matte finish. Non-comedogenic. Non-acnegenic.",,,1,,,50ml,0GW3010000,717334154254,,24,2,11,11632
99,Zero Oil™,Pore purifying toner with Saw Palmetto and Mint,,,,,,," This invigorating, multi-tasking toner formulated with skin-clearing Saw Palmetto, cooling Mint and pore-minimizing Salicylic Acid instantly reduces shine and removes excess oil. Leaves skin with a smooth, matte finish. For external use only. Avoid eye area.",,,1,,,150ml,0GW2010000,717334154230,,16.5,2,17,11376
